name,value,count
Text_2,the is my 1st ever play through and i am loving it. the attention to detail is amazing. beautiful story / atmosphere. so glad i tried.,134
Text_3,"milking since 2013
milking remaster of a remaster for a $70 even multiplayer not included as the ps4 version had. this so greedy.",129
Text_4,"they really rebuilt it for the ps5 and it has very beautiful graphic on ps5 and also it is uses all ps5 controller features , really loved it❤❤",143
Text_6,"it's pretty, but that's about it. it's overpriced. the multiplayer is completely taken away from it . i can actually imagine naughty dog selling the multiplayer back to us at full price. which is ridiculous because you're already spending 70 so why would you want to turn around and pay more money for a feature that should have been in there in the first place. definitely not worth the",387
Text_10,a game generations ahead of the market. have a remarkable experience. i recommend.,82
Text_11,thank you. great job naughty dog. awesome graphic apdate and still amazing game.,80
Text_13,"i played the original game when it first came out. i remember really enjoying it, but recall few of the details. i played part 2 a couple years back and while the gameplay was exceptional, they completely ruined the story. this is not a review of the price of the game because that is stupid - if it’s more expensive than what you’re willing to pay, then don’t buy it.

the game aged",383
Text_20,i have always loved this game. now with this remake i love it much more. nd did a great job with this remake,108
Text_23,"this game is awesome. it's just perfect processing. facial animations have become realistic, graphics, details, naughty dog well done!",134
Text_24,it's just a better version of an absolutely amazing game! one of the best looking games i have ever played! well done naughty dog!,130
Text_25,"well what to say... its is a great game, but terrible price in case you already played it.
so if you never played the game, just go and get it. it is worth it.
if you played it, then you know exactly what you are getting, so you dont need my review.
for this reason im giving higher score. it is scored as a ""new game"" for people who never played it. for other it is irelevant.",377
Text_26,"i haven't played this game yet and i am a pc player, i just want this game to be released for pc.
because we know this game is the best survival game",149
Text_27,"one of the best games ever, but still cash grab. we get the third one the same. the price is sick. jimbo has to go.",115
Text_28,one of the best masterpieces game coming from playstation. has one of the best story too. the gameplay is really smooth and the graphics is really good. 10/10 game for sure.,173
Text_30,"i'm getting really tired of people ""reviewing"" games they've never played... this doesn't deserve to be review bombed like that. no, it's not a remaster, it's a remake and it shows. no, it doesn't have multiplayer, who cares? yes, they charge you 70$ for it, and it's still worth it. no, gameplay mechanics from part 2 did not carry over to this remake, because the original wasn't designed",390
Text_40,"from a fan of the series, i want to be fair with this review. game was great, and now it's greater. is it worth 80 euros, only for fans i think. so i gave it a good 8",166
Text_41,it feels good to play this masterpiece again after 6 years for me with a realistic graphic ... my favorite company naughty dog .. respect,137
Text_42,"a masterpiece. the best game of all time, now full next gen. the best tps combat system, the best story and the best soundtrack",127
Text_43,"the original on steroids. it’s the ultimate experience, an emotional rollercoaster and terrifying yet beautiful piece of work. no other game comes close to this. arguably the best looking game to date across any platform.",221
Text_45,"played the remastered version of the game about a year ago and was blown away by the gameplay and story so getting this version which now also has the graphics of part 2 is great!!, i’m a xbox person generally but this is such a great game series ,",248
Text_52,"it's a great game, one of the best i've ever played. true next generation graphics.",83
Text_53,"played this game almost 10 years ago on ps3. i was stunned. now, with much improved graphics an gameplay. even more stunned. price is a hefty one, yes.",151
Text_54,"beautiful, the best version of one of the best games in history, it improves what needed to be improved and maintains what makes this game what it is, a master piece.",166
Text_60,"we all know the game is aaa class, this upgrade looks fantastic and plays great. very refined, but the asking price is way, way to steep £70 is an abuse of the fans of the game. sony are being greedy and deserve to be bitten over it.",233
Text_61,it's literally the exact same 2013 game with pretty graphics. you can just watch it for free on youtube.,104
Text_62,"brilliant, third purchase of this masterpiece (ps3,ps4,ps5) and could not be happier to experience this game once again!",120
Text_64,"much improved game than original (graphisc, audio, a.i, gameplay). it is a remake, pure an simple. those who didn't watch digital foundry tech analysis, should do it. can't wait for hbo series. to bad that metacritic staff doesn't remove bad scores from xbox fans. vast majority of bad score are coming from xbox fans. idiots!",326
Text_65,masterpiece. the best videogame of history. the best remake. joel and ellie are legends of playstation and the gaming industry.,127
Text_66,"as far as remakes go's, this is one of the best ones in years. not gonne lie, the price is high and not on par with what it should have been ( 40-50 ish ). none the less, the game is stil amazing and deserving of this great remake.",231
Text_67,"tlou part 1 is a real masterpiece for naughty dogs, is really good work, beautiful graphics, gameplay and ia are better than ever, nice work !!!",144
Text_68,"it's an big 70$ scam , this game is not worth buying , sony is scamming with the remake and remaster of this game. the story of the game is repetitive. the time spent on making this remake could have been spent on making a new version of the game.",247
Text_70,i’m half way through it and once again it is absolutely amazing!! some people will call it a cash grab and some will call it a masterpiece. the $70 price tags is steep but it’s well worth it. it’s the definitive version on tlou1.,229
Text_71,"i love this game. the second one was even better. yeah $70 is a lot, but i think it’s worth it if you love the game. also, why are people mad? people buy madden every year for $70+, and that’s the same crappy game every time. at least they tried with last of us.",262
Text_73,"from one hand this game is awesome game. amazing story, great graphics, the best animations, insane attantion to detalis, chemisrty between characters is wonderful! dualsense's fitures are cool. gameplay is fine tho
on the other hand, 70$ is too much for this remake.
i'd recomend this to buy only if you are a big fan of the original game, or if you haven't played the original game. for",388
Text_78,"a love letter to fans of this series of from magical wizards in the video game industry

i want to tell everyone who is experiencing this game for the first time that this is just the beginning of a deep and touching adventure that shows their love to give value the art.  this game is part of my life. and i can't express how i feel about it in just a few sentences.  thanks to the",386
